Customer Name,Email Address,Phone Number,Company,City,Remarks
John Doe,john@example.com,9876543210,GrowEasy,Mumbai,Interested in demo
Sarah Johnson,sarah@example.com,,Tech Solutions,Bangalore,Follow up next week
Rajesh Patel,,9876543212,Startup Inc,Delhi,Call tomorrow
Priya Singh,priya@example.com,9876543213,Enterprise Corp,Pune,Ready to buy
Michael Brown,,,ABC Pvt Ltd,Hyderabad,Requested brochure
Amit Kumar,,,XYZ Builders,Bangalore,Walk-in enquiry
Sneha Joshi,sneha@example.com,,Dream Homes,Mumbai,Needs pricing
Rohit Sharma,,9988776655,Sunrise Realty,Pune,Call after 6 PM
Anjali Verma,,,Real Estate Group,Delhi,No contact information
David Wilson,david@example.com,9123456789,Global Tech,Chennai,Interested
